City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,reggane,26.7158,0.1714,39.15,8,8,1,DZ,2023-06-13 09:34:18
283,kirensk,57.7853,108.1119,20.28,27,27,100,RU,2023-06-13 09:34:19
284,mount gambier,-37.8333,140.7667,9.84,87,87,63,AU,2023-06-13 09:30:33
285,acarau,-2.8856,-40.12,25.05,85,85,55,BR,2023-06-13 09:34:19
286,nova sintra,14.8667,-24.7167,21.76,80,80,82,CV,2023-06-13 09:34:19
287,morehead city,34.7229,-76.726,22.22,92,92,0,US,2023-06-13 09:34:20
288,kidal,18.4411,1.4078,35.17,33,33,16,ML,2023-06-13 09:34:20
289,bethal,-26.4579,29.4655,11.97,34,34,0,ZA,2023-06-13 09:34:20
290,brasilia,-15.7797,-47.9297,16.51,82,82,0,BR,2023-06-13 09:33:57
291,new iberia,30.0035,-91.8187,25.03,88,88,0,US,2023-06-13 09:34:21
292,astara,38.5,48.6667,30.99,52,52,3,AZ,2023-06-13 09:30:16
293,mundybash,53.211,87.2983,19.78,69,69,81,RU,2023-06-13 09:34:21
294,khovd,48.0056,91.6419,22.24,27,27,6,MN,2023-06-13 09:30:26
295,la ronge,55.1001,-105.2842,13.14,82,82,100,CA,2023-06-13 09:30:43
296,ust'-ilimsk,58.0006,102.6619,20.39,27,27,55,RU,2023-06-13 09:34:22
297,nelson bay,-32.7167,152.15,14.44,86,86,2,AU,2023-06-13 09:34:23
298,urengoy,65.9667,78.3667,11.18,32,32,7,RU,2023-06-13 09:31:17
299,turpan,42.9333,89.1667,42.27,10,10,4,CN,2023-06-13 09:34:23
300,wynyard,-41.0,145.7167,9.99,92,92,98,AU,2023-06-13 09:34:23
301,malabar,-33.9667,151.25,15.65,70,70,23,AU,2023-06-13 09:34:24
302,arkhangel'sk,64.5401,40.5433,21.92,31,31,86,RU,2023-06-13 09:34:24
303,devonport,-41.1667,146.35,10.85,97,97,100,AU,2023-06-13 09:34:24
304,saint-georges,12.0564,-61.7485,27.17,82,82,34,GD,2023-06-13 09:34:24
305,paita,-5.0892,-81.1144,22.05,79,79,12,PE,2023-06-13 09:34:25
306,flin flon,54.7682,-101.865,12.02,76,76,53,CA,2023-06-13 09:29:17
307,vidyayevo,69.3191,32.8049,9.37,53,53,95,RU,2023-06-13 09:34:25
308,daru,-9.0763,143.2092,25.45,90,90,100,PG,2023-06-13 09:34:26
309,zhanaozen,43.3,52.8,37.44,9,9,0,KZ,2023-06-13 09:34:26
310,thunder bay,48.4001,-89.3168,11.99,87,87,75,CA,2023-06-13 09:33:56
311,eyl,7.9803,49.8164,32.46,48,48,100,SO,2023-06-13 09:34:27
312,maloye ganyushkino,46.6,49.2667,34.71,15,15,16,KZ,2023-06-13 09:34:27
313,el matama,16.7095,33.3565,39.15,22,22,4,SD,2023-06-13 09:34:27
314,sarangani,5.4033,125.4636,28.14,75,75,100,PH,2023-06-13 09:34:27
315,san antonio de pale,-1.4014,5.6325,24.66,88,88,76,GQ,2023-06-13 09:29:26
316,toliara,-23.35,43.6667,24.51,55,55,0,MG,2023-06-13 09:34:28
317,podoleni,46.8,26.6167,16.84,67,67,99,RO,2023-06-13 09:34:28
318,abong mbang,3.9833,13.1833,21.97,91,91,90,CM,2023-06-13 09:29:42
319,dul'durga,50.6761,113.5931,29.24,31,31,95,RU,2023-06-13 09:34:29
320,sept-iles,50.2001,-66.3821,13.29,61,61,100,CA,2023-06-13 09:34:29
321,sitka,57.0531,-135.33,8.94,81,81,100,US,2023-06-13 09:34:30
322,gamboula,4.1178,15.1393,26.82,73,73,60,CF,2023-06-13 09:34:30
323,maun,-19.9833,23.4167,16.98,39,39,0,BW,2023-06-13 09:34:30
324,saint-philippe,-21.3585,55.7679,26.77,69,69,4,RE,2023-06-13 09:29:11
325,rocha,-34.4833,-54.3333,7.04,79,79,81,UY,2023-06-13 09:34:30
326,bilgoraj,50.5411,22.722,14.1,73,73,100,PL,2023-06-13 09:30:02
327,ceeldheer,3.8488,47.1806,30.99,55,55,40,SO,2023-06-13 09:34:31
328,namibe,-15.1961,12.1522,19.92,64,64,26,AO,2023-06-13 09:29:20
329,vytegra,61.0064,36.4481,21.65,33,33,67,RU,2023-06-13 09:34:32
330,duong dong,10.2167,103.9667,31.0,84,84,40,VN,2023-06-13 09:29:13
331,praia da vitoria,38.7333,-27.0667,20.14,88,88,20,PT,2023-06-13 09:29:16
332,lompoc,34.6391,-120.4579,15.43,85,85,0,US,2023-06-13 09:34:32
333,brokopondo,4.75,-55.1667,24.16,91,91,32,SR,2023-06-13 09:34:33
334,mecca,21.4267,39.8261,39.67,12,12,0,SA,2023-06-13 09:34:33
335,mek'ele,13.4967,39.4753,27.73,26,26,99,ET,2023-06-13 09:34:33
336,kelibia,36.8476,11.0939,26.14,61,61,20,TN,2023-06-13 09:34:34
337,edwards,39.645,-106.5942,6.42,89,89,81,US,2023-06-13 09:34:34
338,tocopilla,-22.092,-70.1979,14.63,72,72,34,CL,2023-06-13 09:34:34
339,khandyga,62.6667,135.6,14.73,54,54,85,RU,2023-06-13 09:34:35
340,bandundu,-3.3167,17.3667,29.73,57,57,100,CD,2023-06-13 09:34:35
341,bhimunipatnam,17.8833,83.4333,35.73,56,56,69,IN,2023-06-13 09:34:35
342,serenje,-13.2325,30.2352,27.56,23,23,7,ZM,2023-06-13 09:34:35
343,geraldton,-28.7667,114.6,18.23,55,55,0,AU,2023-06-13 09:34:36
344,vikulovo,56.8167,70.6107,17.03,34,34,99,RU,2023-06-13 09:34:36
345,sao joao da barra,-21.6403,-41.0511,22.05,90,90,22,BR,2023-06-13 09:30:40
346,yambio,4.5721,28.3955,29.9,54,54,89,SS,2023-06-13 09:34:36
347,qamdo,31.1667,97.2333,1.37,97,97,100,CN,2023-06-13 09:30:38
348,san felipe,10.3399,-68.7425,22.0,98,98,82,VE,2023-06-13 09:34:37
349,constantia,44.1833,28.65,21.5,65,65,52,RO,2023-06-13 09:32:44
350,santa marta,11.2408,-74.199,28.83,74,74,71,CO,2023-06-13 09:34:38
351,lindsay,36.203,-119.0882,20.56,74,74,0,US,2023-06-13 09:34:38
352,olyokminsk,60.3736,120.4264,16.65,28,28,100,RU,2023-06-13 09:34:38
353,lucapa,-8.4192,20.7447,33.38,25,25,79,AO,2023-06-13 09:34:38
354,tutoia,-2.7619,-42.2744,25.15,88,88,55,BR,2023-06-13 09:34:39
355,kokopo,-4.352,152.2633,26.29,85,85,18,PG,2023-06-13 09:34:39
356,yaren,-0.5472,166.916,28.68,76,76,21,NR,2023-06-13 09:34:39
357,portoferraio,42.8115,10.3146,22.2,94,94,75,IT,2023-06-13 09:32:33
358,tela,15.7833,-87.45,25.88,87,87,98,HN,2023-06-13 09:34:40
359,manggar,-2.8833,108.2667,28.48,77,77,29,ID,2023-06-13 09:34:40
360,borogontsy,62.6683,131.1683,7.54,97,97,100,RU,2023-06-13 09:34:40
361,tazacorte,28.629,-17.9293,23.54,86,86,20,ES,2023-06-13 09:29:25
362,queenstown,-31.8976,26.8753,13.76,45,45,34,ZA,2023-06-13 09:34:41
363,motueka,-41.1333,173.0167,8.94,88,88,23,NZ,2023-06-13 09:34:41
364,bahraigh,27.5833,81.6,46.38,10,10,2,IN,2023-06-13 09:34:41
365,wenchang,30.904,118.4887,21.77,86,86,100,CN,2023-06-13 09:34:42
366,tongouson,5.0214,120.1328,29.41,74,74,14,PH,2023-06-13 09:34:42
367,san andres,12.5847,-81.7006,29.01,84,84,40,CO,2023-06-13 09:30:06
368,walvis bay,-22.9575,14.5053,15.53,77,77,0,NA,2023-06-13 09:34:43
369,bouna,9.2667,-3.0,28.42,59,59,94,CI,2023-06-13 09:34:43
370,gaalkacyo,6.7697,47.4308,33.98,34,34,92,SO,2023-06-13 09:34:43
371,amroli,21.3,72.85,32.93,51,51,47,IN,2023-06-13 09:34:44
372,barra do garcas,-15.89,-52.2567,18.87,94,94,61,BR,2023-06-13 09:34:44
373,ipameri,-17.7219,-48.1597,17.55,66,66,5,BR,2023-06-13 09:34:44
374,shalqar,47.8333,59.6,33.69,15,15,100,KZ,2023-06-13 09:34:44
375,bardai,11.65,7.2333,28.79,55,55,95,NG,2023-06-13 09:30:37
376,valparaiso,-33.0393,-71.6273,4.8,93,93,40,CL,2023-06-13 09:34:45
377,yerofey pavlovich,53.9667,121.9667,14.15,50,50,100,RU,2023-06-13 09:34:45
378,nchelenge,-9.3451,28.734,26.45,42,42,88,ZM,2023-06-13 09:34:45
379,kasangulu,-4.5911,15.1708,25.49,70,70,91,CD,2023-06-13 09:34:46
380,rongelap,11.1635,166.8941,27.77,82,82,99,MH,2023-06-13 09:34:46
381,al qusayr,34.5091,36.5798,27.56,41,41,17,SY,2023-06-13 09:34:46
382,mariehamn,60.0973,19.9348,18.92,48,48,0,AX,2023-06-13 09:34:46
383,tchintabaraden,15.8969,5.7985,33.97,39,39,62,NE,2023-06-13 09:34:47
384,le vauclin,14.5452,-60.8388,28.8,83,83,75,MQ,2023-06-13 09:34:47
385,kralendijk,12.15,-68.2667,27.99,78,78,75,BQ,2023-06-13 09:33:54
386,choma,-16.8065,26.9531,27.94,20,20,7,ZM,2023-06-13 09:34:47
387,visakhapatnam,17.69,83.2093,35.15,52,52,45,IN,2023-06-13 09:31:38
388,port moresby,-9.4431,147.1797,25.28,92,92,98,PG,2023-06-13 09:34:48
389,pitimbu,-7.4706,-34.8086,23.33,74,74,71,BR,2023-06-13 09:34:48
390,arias,-33.6441,-62.4027,2.58,74,74,0,AR,2023-06-13 09:34:48
391,nikopol,47.5712,34.3964,22.22,58,58,99,UA,2023-06-13 09:34:49
392,kavaratti,10.5669,72.642,29.27,77,77,94,IN,2023-06-13 09:34:49
393,remire-montjoly,4.9167,-52.2667,23.02,100,100,75,GF,2023-06-13 09:34:49
394,luanda,-8.8368,13.2343,26.0,69,69,75,AO,2023-06-13 09:25:34
395,vilyuysk,63.7553,121.6247,14.67,42,42,100,RU,2023-06-13 09:34:50
396,severoural'sk,60.1533,59.952,21.49,37,37,91,RU,2023-06-13 09:34:50
397,emirdag,39.0197,31.15,20.24,60,60,99,TR,2023-06-13 09:34:50
398,port douglas,-16.4833,145.4667,22.69,85,85,58,AU,2023-06-13 09:30:13
399,minbu,20.1833,94.8833,32.41,54,54,96,MM,2023-06-13 09:34:51
400,prainha,-1.8,-53.48,22.47,97,97,27,BR,2023-06-13 09:34:51
401,alaghsas,17.0187,8.0168,32.94,40,40,0,NE,2023-06-13 09:34:52
402,kolonia,50.9333,6.95,25.88,37,37,0,DE,2023-06-13 09:31:54
403,jingdezhen,29.2947,117.2079,25.09,73,73,92,CN,2023-06-13 09:34:52
404,pariaman,-0.619,100.12,27.03,77,77,59,ID,2023-06-13 09:34:52
405,ola,59.5833,151.2833,12.86,94,94,88,RU,2023-06-13 09:30:11
406,santa cruz,-17.8,-63.1667,12.7,44,44,100,BO,2023-06-13 09:32:09
407,den burg,53.0542,4.7972,24.42,49,49,0,NL,2023-06-13 09:34:53
408,manokwari,-0.8667,134.0833,27.04,82,82,31,ID,2023-06-13 09:29:27
409,karema,-6.8205,30.4389,29.15,45,45,33,TZ,2023-06-13 09:34:53
410,mabopane,-25.4977,28.1007,15.58,24,24,0,ZA,2023-06-13 09:34:54
411,nizhnesortymskiy,62.4397,71.7603,14.38,34,34,40,RU,2023-06-13 09:34:54
412,tommot,58.9564,126.2925,7.87,83,83,100,RU,2023-06-13 09:30:28
413,yarkovo,57.4028,67.0786,18.45,27,27,7,RU,2023-06-13 09:34:54
414,callao,-12.0667,-77.15,22.16,64,64,100,PE,2023-06-13 09:31:45
415,kirakira,-10.4544,161.9205,26.45,87,87,48,SB,2023-06-13 09:34:55
416,santa rosa,14.3122,121.1114,30.61,75,75,93,PH,2023-06-13 09:34:55
417,al ghayzah,16.2079,52.176,33.37,62,62,61,YE,2023-06-13 09:29:34
418,jumla,29.2747,82.1838,22.33,54,54,48,NP,2023-06-13 09:29:56
419,carmaux,44.051,2.158,22.15,72,72,100,FR,2023-06-13 09:34:56
420,mesquite,32.7668,-96.5992,22.86,88,88,100,US,2023-06-13 09:34:56
421,ibimirim,-8.5406,-37.6903,21.82,85,85,69,BR,2023-06-13 09:34:56
422,esmeraldas,-19.7625,-44.3139,17.58,73,73,59,BR,2023-06-13 09:34:57
423,tynda,55.1667,124.7167,11.07,61,61,98,RU,2023-06-13 09:34:57
424,sao tome,0.3365,6.7273,26.6,80,80,39,ST,2023-06-13 09:34:57
425,arraial do cabo,-22.9661,-42.0278,20.92,100,100,40,BR,2023-06-13 09:29:32
426,male,4.1748,73.5089,31.97,74,74,75,MV,2023-06-13 09:31:47
427,santa ana,33.7456,-117.8678,17.34,85,85,100,US,2023-06-13 09:34:58
428,oroqen zizhiqi,50.5667,123.7167,25.85,46,46,100,CN,2023-06-13 09:34:58
429,moyale,3.5167,39.0584,23.99,56,56,90,KE,2023-06-13 09:34:58
430,barranca,-10.75,-77.7667,19.62,80,80,98,PE,2023-06-13 09:34:59
431,port augusta,-32.5,137.7667,12.4,62,62,48,AU,2023-06-13 09:34:59
432,sandnessjoen,66.0217,12.6316,12.29,86,86,75,NO,2023-06-13 09:34:59
433,san fernando de apure,7.8878,-67.4724,22.95,98,98,45,VE,2023-06-13 09:34:59
434,richards bay,-28.783,32.0377,20.98,67,67,1,ZA,2023-06-13 09:29:10
435,amurzet,47.6967,131.0981,23.25,67,67,24,RU,2023-06-13 09:35:00
436,rtishchevo,52.2604,43.7874,10.89,96,96,100,RU,2023-06-13 09:35:00
437,cabedelo,-6.9811,-34.8339,23.37,79,79,44,BR,2023-06-13 09:29:51
438,paka,4.6374,103.4368,30.96,74,74,20,MY,2023-06-13 09:35:01
439,andovoranto,-18.95,49.1,27.28,57,57,1,MG,2023-06-13 09:35:01
440,kruisfontein,-34.0033,24.7314,15.49,55,55,100,ZA,2023-06-13 09:29:21
441,guerrero negro,27.9769,-114.0611,16.02,85,85,61,MX,2023-06-13 09:29:50
442,copala,16.65,-98.9833,26.35,82,82,99,MX,2023-06-13 09:35:02
443,mufulira,-12.5498,28.2407,28.06,27,27,23,ZM,2023-06-13 09:35:02
444,sayanogorsk,53.0875,91.3997,25.29,37,37,36,RU,2023-06-13 09:35:02
445,ingraj bazar,25.0,88.15,38.98,34,34,86,IN,2023-06-13 09:35:03
446,balakhta,55.38,91.6,15.25,71,71,100,RU,2023-06-13 09:35:03
447,kourou,5.1552,-52.6478,24.03,89,89,96,GF,2023-06-13 09:29:47
448,polyarnyy,69.1989,33.4478,9.08,56,56,94,RU,2023-06-13 09:35:03
449,codrington,-38.2667,141.9667,10.08,89,89,88,AU,2023-06-13 09:29:58
450,east london,-33.0153,27.9116,19.52,42,42,0,ZA,2023-06-13 09:25:55
451,valdivia,-39.8142,-73.2459,2.06,97,97,66,CL,2023-06-13 09:30:40
452,scone,56.4194,-3.4051,22.51,77,77,26,GB,2023-06-13 09:35:04
453,mananjary,-21.2167,48.3333,27.11,58,58,0,MG,2023-06-13 09:35:04
454,changzhi,35.2089,111.7386,29.66,39,39,36,CN,2023-06-13 09:35:05
455,ondjiva,-17.0667,15.7333,25.39,11,11,7,AO,2023-06-13 09:35:05
456,labrador city,52.9463,-66.9114,3.95,100,100,0,CA,2023-06-13 09:35:05
457,kusa,55.3383,59.4406,18.64,25,25,0,RU,2023-06-13 09:35:05
458,auki,-8.7676,160.7034,26.16,87,87,6,SB,2023-06-13 09:29:38
459,happy valley-goose bay,53.3168,-60.3315,11.17,62,62,100,CA,2023-06-13 09:35:06
460,nyrob,60.733,56.7202,20.73,44,44,98,RU,2023-06-13 09:35:06
461,twin falls,42.3505,-114.6445,14.19,77,77,0,US,2023-06-13 09:35:07
462,comblain-au-pont,50.4749,5.5771,26.51,38,38,8,BE,2023-06-13 09:35:07
463,dzhubga,44.3211,38.7039,25.0,70,70,98,RU,2023-06-13 09:34:36
464,"laikit, laikit ii (dimembe)",1.4792,124.9735,24.47,89,89,40,ID,2023-06-13 09:35:07
465,saldanha,-33.0117,17.9442,15.03,82,82,100,ZA,2023-06-13 09:29:17
466,riohacha,11.5444,-72.9072,27.17,81,81,96,CO,2023-06-13 09:35:08
467,margate,51.3813,1.3862,22.72,72,72,0,GB,2023-06-13 09:34:19
468,qala i naw,34.9874,63.1289,36.36,11,11,0,AF,2023-06-13 09:35:09
469,srivardhan,18.0333,73.0167,30.87,70,70,3,IN,2023-06-13 09:35:09
470,revda,56.801,59.9303,18.82,28,28,0,RU,2023-06-13 09:34:37
471,i-n-salah,27.1935,2.4607,41.64,5,5,7,DZ,2023-06-13 09:35:09
472,balykshi,47.0667,51.8667,38.0,9,9,0,KZ,2023-06-13 09:35:10
473,sumbe,-11.2061,13.8437,25.1,67,67,85,AO,2023-06-13 09:35:10
474,bojnurd,37.4747,57.329,31.97,20,20,20,IR,2023-06-13 09:35:10
475,rio linda,38.691,-121.4486,17.65,80,80,0,US,2023-06-13 09:35:11
476,paciran,-6.8767,112.3761,28.76,72,72,76,ID,2023-06-13 09:35:11
477,fort st. john,56.2499,-120.8529,12.94,67,67,100,CA,2023-06-13 09:30:02
478,san martin de los andes,-40.1604,-71.3486,-1.86,94,94,15,AR,2023-06-13 09:35:12
479,george town,5.4112,100.3354,32.96,70,70,40,MY,2023-06-13 09:35:12
480,yanam,16.7333,82.2167,42.03,25,25,50,IN,2023-06-13 09:35:12
481,yekaterinoslavka,50.3734,129.1139,23.3,72,72,100,RU,2023-06-13 09:35:12
482,kodinsk,58.6881,99.1844,19.29,47,47,71,RU,2023-06-13 09:35:13
483,kentville,45.0835,-64.4988,14.11,95,95,61,CA,2023-06-13 09:35:13
484,shortandy,51.7006,70.9994,14.25,65,65,88,KZ,2023-06-13 09:35:13
485,suva,-18.1416,178.4415,22.71,100,100,75,FJ,2023-06-13 09:35:13
486,kwang binh,17.4833,106.6,30.68,68,68,100,VN,2023-06-13 09:35:14
487,tidjikja,18.5564,-11.4271,35.26,13,13,58,MR,2023-06-13 09:35:14
488,konarka,19.9,86.1167,31.22,57,57,86,IN,2023-06-13 09:35:14
489,rudnichnyy,59.617,52.4703,20.69,45,45,30,RU,2023-06-13 09:35:15
490,dinard,48.6314,-2.0614,21.83,93,93,100,FR,2023-06-13 09:31:58
491,kenai,60.5544,-151.2583,7.3,80,80,20,US,2023-06-13 09:35:15
492,el rama,12.1596,-84.2195,23.54,98,98,99,NI,2023-06-13 09:35:15
493,langxiang,46.95,128.8833,20.04,73,73,60,CN,2023-06-13 09:35:16
494,bandon,51.7469,-8.7425,19.77,87,87,100,IE,2023-06-13 09:31:27
495,isangel,-19.55,169.2667,23.06,73,73,40,VU,2023-06-13 09:35:16
496,baotou,40.6522,109.8222,28.58,15,15,0,CN,2023-06-13 09:35:16
497,imbituba,-28.24,-48.6703,13.81,72,72,100,BR,2023-06-13 09:35:17
498,jinka,5.65,36.65,25.33,54,54,35,ET,2023-06-13 09:35:17
499,porto novo,6.4965,2.6036,28.9,58,58,76,BJ,2023-06-13 09:35:17
500,knyaze-volkonskoye,48.4642,135.4567,23.19,69,69,1,RU,2023-06-13 09:35:17
501,yinchuan,38.4681,106.2731,30.97,8,8,0,CN,2023-06-13 09:35:18
502,nurota,40.5614,65.6886,37.06,11,11,0,UZ,2023-06-13 09:31:50
503,al jawf,29.5,38.75,33.97,17,17,0,SA,2023-06-13 09:30:17
504,gobabis,-22.45,18.9667,16.63,22,22,0,NA,2023-06-13 09:35:18
505,pangody,65.85,74.4859,10.65,36,36,100,RU,2023-06-13 09:29:50
506,la'ie,21.6477,-157.9253,25.98,80,80,7,US,2023-06-13 09:35:19
507,tomatlan,19.9333,-105.25,22.14,93,93,17,MX,2023-06-13 09:35:19
508,chui,-33.6971,-53.4616,8.78,76,76,99,UY,2023-06-13 09:30:24
509,todos santos,23.45,-110.2167,20.79,61,61,59,MX,2023-06-13 09:35:20
510,chamzinka,54.4019,45.7839,16.44,53,53,100,RU,2023-06-13 09:35:20
511,baikonur,45.6167,63.3167,36.1,6,6,30,KZ,2023-06-13 09:35:20
512,palenque,17.5167,-91.9667,26.53,74,74,4,MX,2023-06-13 09:35:20
513,gidrotorf,56.4744,43.5414,18.99,42,42,12,RU,2023-06-13 09:35:21
514,beaufort west,-32.3567,22.583,12.92,59,59,88,ZA,2023-06-13 09:35:21
515,pisco,-13.7,-76.2167,17.03,82,82,11,PE,2023-06-13 09:29:12
516,el bauga,18.262,33.9081,41.41,12,12,16,SD,2023-06-13 09:35:21
517,las heras,-46.5419,-68.9359,0.51,69,69,99,AR,2023-06-13 09:35:22
518,tucurui,-3.7661,-49.6725,22.85,97,97,20,BR,2023-06-13 09:35:22
519,asekeyevo,53.5742,52.7972,17.41,63,63,97,RU,2023-06-13 09:35:22
520,howard springs,-12.497,131.047,27.95,60,60,13,AU,2023-06-13 09:35:23
521,mount pearl,47.5166,-52.7813,7.14,97,97,100,CA,2023-06-13 09:35:23
522,kuqa,41.7278,82.9364,37.36,10,10,34,CN,2023-06-13 09:35:23
523,obo,5.3998,26.4869,27.28,69,69,92,CF,2023-06-13 09:35:23
524,murun-kuren,49.6342,100.1625,18.23,52,52,93,MN,2023-06-13 09:35:24
525,itoman,26.1247,127.6694,27.21,92,92,75,JP,2023-06-13 09:35:24
526,rundu,-17.9333,19.7667,23.69,16,16,0,NA,2023-06-13 09:35:24
527,goundam,16.4145,-3.6708,32.88,38,38,97,ML,2023-06-13 09:35:24
528,tahe,52.3333,124.7333,17.73,59,59,100,CN,2023-06-13 09:35:25
529,sungai penuh,-2.0833,101.3833,22.73,91,91,72,ID,2023-06-13 09:35:25
530,colonia,50.9333,6.95,25.88,38,38,0,DE,2023-06-13 09:31:11
531,tamluk,22.3,87.9167,37.94,42,42,74,IN,2023-06-13 09:35:25
532,san patricio,28.017,-97.5169,28.24,73,73,93,US,2023-06-13 09:35:26
533,muang phon-hong,18.4928,102.4172,27.54,91,91,96,LA,2023-06-13 09:35:26
534,usol'ye,59.4268,56.6808,22.06,37,37,30,RU,2023-06-13 09:35:26
535,potenza,40.6443,15.8086,23.84,51,51,99,IT,2023-06-13 09:35:26
536,pyhaselka,62.4333,29.9667,21.15,27,27,100,FI,2023-06-13 09:35:27
537,krasnoturansk,54.3186,91.5639,15.73,67,67,99,RU,2023-06-13 09:35:27
538,ciudad lazaro cardenas,17.9583,-102.2,25.96,84,84,33,MX,2023-06-13 09:29:15
539,nyurba,63.2842,118.3319,17.42,39,39,100,RU,2023-06-13 09:31:21
540,yanbu,24.0891,38.0637,38.02,30,30,0,SA,2023-06-13 09:34:48
541,weihai,37.5017,122.1136,19.3,74,74,1,CN,2023-06-13 09:35:28
542,homer,59.6425,-151.5483,8.94,73,73,100,US,2023-06-13 09:35:28
543,kayangel,8.0823,134.7173,27.1,83,83,82,PW,2023-06-13 09:29:08
544,changyon,38.2508,125.0961,20.01,70,70,3,KP,2023-06-13 09:35:29
545,arno,60.1167,18.6333,13.77,32,32,17,SE,2023-06-13 09:35:29
546,palmerston,-12.486,130.9833,27.99,60,60,0,AU,2023-06-13 09:35:29
547,moranbah,-22.0016,148.0466,19.79,65,65,44,AU,2023-06-13 09:35:30
548,buala,-8.145,159.5921,27.42,82,82,16,SB,2023-06-13 09:35:30
549,ad dilam,23.9915,47.1627,44.23,8,8,14,SA,2023-06-13 09:35:30
550,bengkulu,-3.8004,102.2655,28.67,75,75,30,ID,2023-06-13 09:35:31
551,caleta de carquin,-11.0925,-77.6267,19.33,84,84,68,PE,2023-06-13 09:35:31
552,charcas,23.1333,-101.1167,18.95,57,57,0,MX,2023-06-13 09:35:31
553,santiago de cao,-7.9589,-79.2392,21.07,88,88,100,PE,2023-06-13 09:35:31
554,agnibilekrou,7.1344,-3.2047,27.27,62,62,73,CI,2023-06-13 09:35:32
555,aldinga beach,-35.2793,138.4604,14.26,70,70,9,AU,2023-06-13 09:35:32
556,yanchep,-31.55,115.6833,16.45,69,69,57,AU,2023-06-13 09:35:32
557,najran,17.4924,44.1277,36.36,17,17,100,SA,2023-06-13 09:32:58
558,saint-joseph,-21.3667,55.6167,27.48,72,72,4,RE,2023-06-13 09:35:26
559,inirida,3.8653,-67.9239,22.32,98,98,86,CO,2023-06-13 09:29:29
560,siwa oasis,29.2041,25.5195,33.72,25,25,0,EG,2023-06-13 09:30:21
561,mugia,43.1041,-9.2179,19.53,87,87,13,ES,2023-06-13 09:35:33
562,charxin,39.6967,66.7686,35.11,21,21,1,UZ,2023-06-13 09:35:34
563,taro,-8.3862,115.28,24.0,86,86,90,ID,2023-06-13 09:35:34
564,nuevitas,21.5453,-77.2644,25.33,92,92,99,CU,2023-06-13 09:35:34
565,aykhal,66.0,111.5,17.5,31,31,10,RU,2023-06-13 09:35:34
566,las terrenas,19.311,-69.5428,26.16,85,85,39,DO,2023-06-13 09:35:35
